date,description,amount,currency
2026-08-01,ADOBE CREATIVE CLOUD,54.99,USD
2026-08-02,FIGMA MONTHLY,15.00,USD
2026-08-03,STARBUCKS #4412,6.80,USD
2026-08-04,AWS EU-WEST,42.17,USD
2026-08-05,ZOOM VIDEO COMM,15.99,USD
2026-08-07,OFFICE DEPOT,88.40,USD
2026-08-09,NOTION LABS,10.00,USD
2026-08-11,DELTA AIR 0062319,412.60,USD
2026-08-12,UBER TRIP,23.45,USD
2026-08-14,ADOBE CREATIVE CLOUD,54.99,USD
2026-08-15,UNKNOWN VENDOR 88213,199.00,USD
2026-08-18,GOOGLE WORKSPACE,12.00,USD
2026-08-20,HOTEL MARRIOTT SF,318.22,USD
2026-08-22,AMAZON MKTPLACE,64.31,USD
2026-08-25,ZOOM VIDEO COMM,15.99,USD
